#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   1.918   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.957  0.000  0.000  0.959
   1.923   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.957  0.000  0.000  0.959
   1.929   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.956  0.000  0.000  0.959
   1.934   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.955  0.000  0.000  0.959
   1.939   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.955  0.000  0.000  0.959
   1.944   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.953  0.002  0.002  0.959
   1.949   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.952  0.002  0.002  0.959
   1.955   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.951  0.002  0.002  0.959
   1.960   -14.510  0.000  0.000  0.002  0.000  0.000  0.002  0.949  0.004  0.002  0.959
   1.965   -14.510  0.000  0.000  0.002  0.000  0.002  0.002  0.946  0.004  0.004  0.959
   1.970   -14.510  0.000  0.000  0.002  0.000  0.002  0.002  0.944  0.004  0.004  0.958
   1.975   -14.510  0.000  0.000  0.002  0.000  0.002  0.002  0.941  0.006  0.004  0.958
   1.980   -14.510  0.000  0.000  0.002  0.000  0.002  0.002  0.938  0.008  0.006  0.957
   1.986   -14.510  0.000  0.000  0.002  0.000  0.002  0.002  0.935  0.008  0.006  0.957
   1.991   -14.510  0.000  0.000  0.002  0.000  0.002  0.004  0.931  0.010  0.008  0.957
   1.996   -14.510  0.000  0.000  0.002  0.000  0.004  0.004  0.926  0.012  0.010  0.957
   2.001   -14.510  0.000  0.000  0.002  0.000  0.004  0.004  0.921  0.014  0.010  0.956
   2.006   -14.510  0.000  0.000  0.002  0.000  0.004  0.006  0.916  0.016  0.012  0.955
   2.011   -14.510  0.000  0.000  0.002  0.000  0.006  0.006  0.910  0.018  0.014  0.955
   2.017   -14.510  0.000  0.000  0.002  0.000  0.006  0.006  0.904  0.020  0.016  0.954
   2.022   -14.510  0.000  0.000  0.002  0.000  0.006  0.008  0.897  0.022  0.018  0.953
   2.027   -14.510  0.000  0.000  0.002  0.000  0.008  0.008  0.889  0.026  0.020  0.953
   2.032   -14.510  0.000  0.000  0.002  0.000  0.008  0.010  0.880  0.028  0.022  0.952
   2.037   -14.510  0.000  0.000  0.002  0.000  0.010  0.012  0.870  0.032  0.026  0.951
   2.043   -14.511  0.000  0.000  0.002  0.000  0.010  0.012  0.859  0.036  0.028  0.950
   2.048   -14.511  0.000  0.000  0.002  0.000  0.012  0.014  0.848  0.040  0.032  0.949
   2.053   -14.511  0.000  0.000  0.002  0.000  0.014  0.016  0.835  0.046  0.036  0.947
   2.058   -14.511  0.000  0.000  0.002  0.000  0.016  0.018  0.821  0.050  0.040  0.947
   2.063   -14.512  0.000  0.000  0.002  0.000  0.016  0.020  0.805  0.056  0.044  0.945
   2.068   -14.512  0.000  0.000  0.002  0.000  0.018  0.024  0.788  0.062  0.048  0.943
   2.074   -14.513  0.000  0.000  0.002  0.000  0.020  0.026  0.770  0.070  0.053  0.941
   2.079   -14.514  0.000  0.000  0.002  0.000  0.023  0.028  0.749  0.078  0.058  0.939
   2.084   -14.514  0.000  0.000  0.002  0.000  0.026  0.032  0.728  0.086  0.064  0.937
   2.089   -14.515  0.000  0.000  0.002  0.000  0.028  0.036  0.704  0.094  0.070  0.935
   2.094   -14.516  0.000  0.000  0.002  0.000  0.030  0.040  0.679  0.104  0.078  0.933
   2.099   -14.517  0.000  0.000  0.002  0.000  0.034  0.044  0.653  0.114  0.084  0.931
   2.105   -14.518  0.000  0.000  0.002  0.000  0.036  0.048  0.625  0.124  0.092  0.927
   2.110   -14.519  0.000  0.000  0.002  0.000  0.040  0.052  0.595  0.136  0.099  0.925
   2.115   -14.521  0.000  0.000  0.002  0.000  0.044  0.058  0.565  0.147  0.107  0.922
   2.120   -14.522  0.000  0.000  0.002  0.000  0.046  0.062  0.534  0.159  0.115  0.919
   2.125   -14.524  0.000  0.000  0.002  0.000  0.050  0.068  0.503  0.170  0.123  0.916
   2.131   -14.526  0.000  0.000  0.002  0.000  0.054  0.072  0.472  0.182  0.130  0.913
   2.136   -14.528  0.000  0.000  0.002  0.000  0.057  0.078  0.441  0.194  0.138  0.910
   2.141   -14.529  0.000  0.000  0.002  0.000  0.060  0.083  0.410  0.205  0.146  0.907
   2.146   -14.532  0.000  0.000  0.002  0.000  0.064  0.088  0.381  0.216  0.153  0.904
   2.151   -14.534  0.000  0.000  0.002  0.000  0.067  0.093  0.352  0.227  0.160  0.902
   2.156   -14.536  0.000  0.000  0.002  0.000  0.070  0.098  0.326  0.237  0.166  0.898
   2.162   -14.538  0.000  0.000  0.002  0.000  0.073  0.102  0.300  0.246  0.172  0.896
   2.167   -14.540  0.000  0.000  0.002  0.000  0.076  0.107  0.276  0.255  0.177  0.894
   2.172   -14.543  0.000  0.000  0.002  0.000  0.079  0.112  0.254  0.263  0.182  0.890
