#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.930   -14.606  0.079  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.940   -14.606  0.079  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.950   -14.606  0.079  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.961   -14.605  0.079  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   0.971   -14.604  0.079  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   0.982   -14.604  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   0.992   -14.603  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   1.002   -14.602  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   1.013   -14.601  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   1.023   -14.600  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   1.033   -14.599  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   1.044   -14.598  0.077  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   1.054   -14.596  0.077  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   1.064   -14.595  0.076  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   1.075   -14.594  0.076  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.078
   1.085   -14.592  0.076  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.078
   1.095   -14.591  0.075  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.078
   1.106   -14.589  0.075  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.077
   1.116   -14.587  0.074  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.076
   1.126   -14.586  0.074  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.076
   1.137   -14.584  0.074  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.076
   1.147   -14.582  0.072  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.075
   1.157   -14.580  0.072  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.074
   1.168   -14.578  0.072  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.074
   1.178   -14.576  0.071  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.074
   1.189   -14.574  0.070  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.072
   1.199   -14.572  0.070  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.072
   1.209   -14.570  0.068  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.071
   1.220   -14.567  0.068  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.070
   1.230   -14.565  0.067  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.070
   1.240   -14.563  0.066  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.068
   1.251   -14.561  0.065  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.068
   1.261   -14.558  0.064  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.066
   1.271   -14.556  0.062  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.066
   1.282   -14.554  0.062  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.064
   1.292   -14.551  0.060  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.063
   1.302   -14.549  0.059  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.062
   1.313   -14.547  0.058  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.060
   1.323   -14.545  0.056  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.059
   1.333   -14.542  0.055  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.058
   1.344   -14.540  0.054  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.354   -14.538  0.052  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.365   -14.536  0.050  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.375   -14.534  0.048  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.051
   1.385   -14.532  0.046  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.396   -14.530  0.045  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.406   -14.528  0.044  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   1.416   -14.527  0.042  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   1.427   -14.525  0.040  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.042
   1.437   -14.523  0.038  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   1.447   -14.522  0.036  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.038
   1.458   -14.521  0.034  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.036
   1.468   -14.519  0.032  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.034
   1.478   -14.518  0.030  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.032
   1.489   -14.517  0.030  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.032
   1.499   -14.516  0.028  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.030
   1.509   -14.515  0.026  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.028
   1.520   -14.515  0.024  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.026
   1.530   -14.514  0.024  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.026
   1.540   -14.513  0.022  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.024
   1.551   -14.513  0.022  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.023
   1.561   -14.512  0.020  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.022
   1.572   -14.512  0.020  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.020
   1.582   -14.512  0.018  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.020
   1.592   -14.511  0.018  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.020
   1.603   -14.511  0.016  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.613   -14.511  0.016  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.018
