# Kpath    Energy-Level (in eV)
# Band    1
       1.66803      -6.12581
       1.68139      -6.16932
       1.69475      -6.20799
       1.70811      -6.24162
       1.72147      -6.27005
       1.73483      -6.29321
       1.74818      -6.31108
       1.76154      -6.32368
       1.77490      -6.33112
       1.78826      -6.33356
       1.78826      -6.33356
       1.81497      -6.32425
       1.84169      -6.29768
       1.86841      -6.25594
       1.89512      -6.20110
       1.92184      -6.13501
       1.94856      -6.05925
       1.97527      -5.97514
       2.00199      -5.88376
       2.02870      -5.78601
       2.05542      -5.68262
       2.08214      -5.57422
       2.10885      -5.46133
       2.13557      -5.34441
       2.16229      -5.22389
       2.18900      -5.10011
       2.21572      -4.97345
       2.24243      -4.84422
       2.26915      -4.71276
       2.29587      -4.57938
       2.32258      -4.44441
       2.34930      -4.30818
       2.37602      -4.17103
       2.40273      -4.03331
       2.42945      -3.89539
       2.45616      -3.75765
       2.48288      -3.62048
       2.50960      -3.48432
       2.53631      -3.34958
       2.56303      -3.31187
       2.58974      -3.39924
       2.61646      -3.48245
       2.64318      -3.56142
       2.66989      -3.63612
       2.69661      -3.53125
       2.72333      -3.34481
       2.75004      -3.16119
       2.77676      -2.98138
       2.80347      -2.80650
       2.83019      -2.63780
       2.85691      -2.47674
       2.88362      -2.32490
       2.91034      -2.18408
       2.93706      -2.05616
       2.96377      -1.94317
       2.99049      -1.84714
       3.01720      -1.77000
       3.04392      -1.71350
       3.07064      -1.67900
       3.09735      -1.66742
# Band    4
       3.09735      -1.66741
       3.07064      -1.67188
       3.04392      -1.68524
       3.01720      -1.70746
       2.99049      -1.73847
       2.96377      -1.77814
       2.93706      -1.82633
       2.91034      -1.88284
       2.88362      -1.94744
       2.85691      -2.01985
       2.83019      -2.09974
       2.80347      -2.18677
       2.77676      -2.28052
       2.75004      -2.38057
       2.72333      -2.48647
       2.69661      -2.59771
       2.66989      -2.71382
       2.64318      -2.83428
       2.61646      -2.95858
       2.58974      -3.08623
       2.56303      -3.21672
       2.53631      -3.22039
       2.50960      -3.12489
       2.48288      -3.02544
       2.45616      -2.92213
       2.42945      -2.81506
       2.40273      -2.70435
       2.37602      -2.59011
       2.34930      -2.47249
       2.32258      -2.35165
       2.29587      -2.22777
       2.26915      -2.10104
       2.24243      -1.97171
       2.21572      -1.84002
       2.18900      -1.70628
       2.16229      -1.57083
       2.13557      -1.43407
       2.10885      -1.29646
       2.08214      -1.15855
       2.05542      -1.02099
       2.02870      -0.88457
       2.00199      -0.75026
       1.97527      -0.61930
       1.94856      -0.49330
       1.92184      -0.37446
       1.89512      -0.26582
       1.86841      -0.17163
       1.84169      -0.09762
       1.81497      -0.05028
       1.78826      -0.03428
       1.78826      -0.03428
       1.77490      -0.03809
       1.76154      -0.04900
       1.74818      -0.06608
       1.73483      -0.08829
       1.72147      -0.11460
       1.70811      -0.14409
       1.69475      -0.17595
       1.68139      -0.20954
       1.66803      -0.24431
