# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   2.590   -13.012  0.189  0.015  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.210
   2.616   -13.089  0.192  0.014  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.210
   2.643   -13.161  0.194  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.210
   2.670   -13.230  0.196  0.011  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.211
   2.697   -13.295  0.198  0.010  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.211
   2.723   -13.355  0.200  0.008  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.211
   2.750   -13.412  0.201  0.007  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.211
   2.777   -13.465  0.203  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.211
   2.803   -13.513  0.204  0.005  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.211
   2.830   -13.558  0.205  0.004  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   2.857   -13.598  0.207  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   2.884   -13.634  0.208  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   2.910   -13.666  0.208  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   2.937   -13.693  0.209  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   2.964   -13.717  0.210  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   2.990   -13.736  0.210  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   3.017   -13.751  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   3.044   -13.762  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   3.071   -13.768  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   3.097   -13.770  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
# Band    2
   3.097    -4.223  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   3.071    -4.220  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   3.044    -4.213  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   3.017    -4.202  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.990    -4.186  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.964    -4.165  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.937    -4.140  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.910    -4.110  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.884    -4.075  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.857    -4.036  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.830    -3.992  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.803    -3.944  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.777    -3.891  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.750    -3.834  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.723    -3.773  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.697    -3.706  0.000  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.670    -3.720  0.101  0.163  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.339
   2.643    -3.909  0.109  0.154  0.000  0.074  0.000  0.000  0.000  0.000  0.000  0.337
   2.616    -4.099  0.116  0.147  0.000  0.072  0.000  0.000  0.000  0.000  0.000  0.335
   2.590    -4.290  0.124  0.139  0.000  0.071  0.000  0.000  0.000  0.000  0.000  0.334
   2.563    -4.479  0.131  0.132  0.000  0.069  0.000  0.000  0.000  0.000  0.000  0.332
   2.536    -4.668  0.138  0.125  0.000  0.068  0.000  0.000  0.000  0.000  0.000  0.331
   2.510    -4.855  0.146  0.118  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.330
   2.483    -5.040  0.153  0.111  0.000  0.065  0.000  0.000  0.000  0.000  0.000  0.329
   2.456    -5.224  0.160  0.105  0.000  0.064  0.000  0.000  0.000  0.000  0.000  0.329
   2.429    -5.404  0.167  0.099  0.000  0.062  0.000  0.000  0.000  0.000  0.000  0.328
   2.403    -5.582  0.175  0.093  0.000  0.061  0.000  0.000  0.000  0.000  0.000  0.328
   2.376    -5.757  0.182  0.087  0.000  0.059  0.000  0.000  0.000  0.000  0.000  0.328
   2.349    -5.928  0.190  0.081  0.000  0.058  0.000  0.000  0.000  0.000  0.000  0.329
   2.323    -6.096  0.197  0.076  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.329
   2.296    -6.260  0.205  0.070  0.000  0.055  0.000  0.000  0.000  0.000  0.000  0.330
   2.269    -6.419  0.214  0.065  0.000  0.053  0.000  0.000  0.000  0.000  0.000  0.332
   2.242    -6.573  0.222  0.060  0.000  0.051  0.000  0.000  0.000  0.000  0.000  0.333
   2.216    -6.723  0.232  0.055  0.000  0.049  0.000  0.000  0.000  0.000  0.000  0.335
   2.189    -6.867  0.241  0.050  0.000  0.047  0.000  0.000  0.000  0.000  0.000  0.338
   2.162    -7.005  0.251  0.045  0.000  0.045  0.000  0.000  0.000  0.000  0.000  0.341
   2.136    -7.136  0.262  0.040  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.345
   2.109    -7.261  0.274  0.035  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.349
   2.082    -7.377  0.286  0.031  0.000  0.037  0.000  0.000  0.000  0.000  0.000  0.354
   2.055    -7.485  0.299  0.026  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.359
   2.029    -7.583  0.314  0.022  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.366
   2.002    -7.671  0.328  0.018  0.000  0.027  0.000  0.000  0.000  0.000  0.000  0.372
   1.975    -7.748  0.344  0.014  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.380
   1.949    -7.813  0.359  0.010  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.387
   1.922    -7.865  0.374  0.007  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.395
   1.895    -7.904  0.388  0.004  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.402
   1.868    -7.930  0.400  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.408
   1.842    -7.946  0.409  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.413
   1.815    -7.954  0.415  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.416
   1.788    -7.955  0.417  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.417
   1.788    -7.955  0.417  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.417
   1.775    -7.955  0.417  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.417
   1.762    -7.955  0.415  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.416
   1.748    -7.955  0.413  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.415
   1.735    -7.955  0.409  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.413
   1.721    -7.956  0.405  0.001  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.411
   1.708    -7.959  0.400  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.408
   1.695    -7.962  0.395  0.003  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.406
   1.681    -7.967  0.389  0.003  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.403
   1.668    -7.974  0.383  0.004  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.399
   1.655    -7.981  0.377  0.005  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.396
   1.641    -7.990  0.370  0.006  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.393
   1.628    -8.000  0.364  0.006  0.000  0.019  0.000  0.000  0.000  0.000  0.000  0.389
   1.615    -8.011  0.358  0.007  0.000  0.021  0.000  0.000  0.000  0.000  0.000  0.386
   1.601    -8.023  0.352  0.008  0.000  0.023  0.000  0.000  0.000  0.000  0.000  0.383
   1.588    -8.036  0.346  0.009  0.000  0.025  0.000  0.000  0.000  0.000  0.000  0.380
   1.575    -8.050  0.341  0.009  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.377
   1.561    -8.064  0.336  0.010  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.374
   1.548    -8.079  0.331  0.010  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.371
   1.534    -8.094  0.326  0.011  0.000  0.031  0.000  0.000  0.000  0.000  0.000  0.369
   1.521    -8.109  0.322  0.011  0.000  0.032  0.000  0.000  0.000  0.000  0.000  0.366
   1.508    -8.124  0.318  0.012  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.364
   1.494    -8.140  0.315  0.012  0.000  0.035  0.000  0.000  0.000  0.000  0.000  0.362
   1.481    -8.155  0.311  0.013  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.360
   1.468    -8.170  0.308  0.013  0.000  0.037  0.000  0.000  0.000  0.000  0.000  0.358
   1.454    -8.185  0.306  0.013  0.000  0.038  0.000  0.000  0.000  0.000  0.000  0.356
   1.441    -8.200  0.303  0.013  0.000  0.038  0.000  0.000  0.000  0.000  0.000  0.355
   1.428    -8.214  0.301  0.014  0.000  0.039  0.000  0.000  0.000  0.000  0.000  0.353
   1.414    -8.228  0.298  0.014  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.352
   1.401    -8.242  0.296  0.014  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.351
   1.388    -8.255  0.294  0.014  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.349
   1.374    -8.267  0.293  0.014  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.348
   1.361    -8.280  0.291  0.014  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.347
   1.347    -8.291  0.290  0.014  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.346
   1.334    -8.302  0.288  0.015  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.345
   1.321    -8.312  0.287  0.015  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.345
   1.307    -8.322  0.286  0.015  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.344
   1.294    -8.331  0.285  0.015  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.343
   1.281    -8.340  0.284  0.015  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.343
   1.267    -8.347  0.284  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.342
   1.254    -8.354  0.283  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.342
   1.241    -8.361  0.282  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.341
   1.227    -8.366  0.282  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.341
   1.214    -8.371  0.281  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.340
   1.201    -8.375  0.281  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.340
   1.187    -8.378  0.281  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.340
   1.174    -8.381  0.280  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.340
   1.160    -8.383  0.280  0.015  0.000  0.045  0.000  0.000  0.000  0.000  0.000  0.340
   1.147    -8.384  0.280  0.015  0.000  0.045  0.000  0.000  0.000  0.000  0.000  0.340
   1.134    -8.385  0.280  0.015  0.000  0.045  0.000  0.000  0.000  0.000  0.000  0.340
   1.134    -8.385  0.280  0.015  0.000  0.045  0.000  0.000  0.000  0.000  0.000  0.340
   1.111    -8.374  0.279  0.015  0.000  0.045  0.000  0.000  0.000  0.000  0.000  0.339
   1.087    -8.342  0.276  0.015  0.000  0.046  0.000  0.000  0.000  0.000  0.000  0.338
   1.064    -8.290  0.271  0.016  0.000  0.048  0.000  0.000  0.000  0.000  0.000  0.336
   1.041    -8.219  0.265  0.017  0.000  0.051  0.000  0.000  0.000  0.000  0.000  0.333
   1.018    -8.133  0.258  0.018  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.331
   0.995    -8.032  0.250  0.019  0.000  0.058  0.000  0.000  0.000  0.000  0.000  0.328
   0.972    -7.918  0.243  0.021  0.000  0.062  0.000  0.000  0.000  0.000  0.000  0.325
   0.949    -7.794  0.235  0.022  0.000  0.066  0.000  0.000  0.000  0.000  0.000  0.323
   0.925    -7.661  0.228  0.023  0.000  0.070  0.000  0.000  0.000  0.000  0.000  0.321
   0.902    -7.519  0.221  0.025  0.000  0.074  0.000  0.000  0.000  0.000  0.000  0.319
   0.879    -7.371  0.214  0.026  0.000  0.078  0.000  0.000  0.000  0.000  0.000  0.318
   0.856    -7.217  0.207  0.027  0.000  0.082  0.000  0.000  0.000  0.000  0.000  0.317
   0.833    -7.057  0.200  0.029  0.000  0.087  0.000  0.000  0.000  0.000  0.000  0.316
   0.810    -6.893  0.194  0.030  0.000  0.091  0.000  0.000  0.000  0.000  0.000  0.315
   0.787    -6.724  0.188  0.032  0.000  0.095  0.000  0.000  0.000  0.000  0.000  0.315
   0.764    -6.552  0.182  0.033  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.315
   0.740    -6.377  0.176  0.035  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.315
   0.717    -6.198  0.170  0.036  0.000  0.109  0.000  0.000  0.000  0.000  0.000  0.315
   0.694    -6.018  0.165  0.038  0.000  0.113  0.000  0.000  0.000  0.000  0.000  0.316
   0.671    -5.835  0.159  0.039  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.316
   0.648    -5.650  0.153  0.041  0.000  0.123  0.000  0.000  0.000  0.000  0.000  0.317
   0.625    -5.464  0.148  0.043  0.000  0.128  0.000  0.000  0.000  0.000  0.000  0.318
   0.602    -5.276  0.142  0.044  0.000  0.133  0.000  0.000  0.000  0.000  0.000  0.319
   0.578    -5.088  0.137  0.046  0.000  0.138  0.000  0.000  0.000  0.000  0.000  0.321
   0.555    -4.899  0.131  0.048  0.000  0.143  0.000  0.000  0.000  0.000  0.000  0.322
