# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   2.136   -11.251  0.433  0.017  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.456
   2.162   -11.368  0.426  0.018  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.449
   2.189   -11.485  0.420  0.018  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.444
   2.216   -11.602  0.414  0.018  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.439
   2.242   -11.718  0.410  0.018  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.434
   2.269   -11.833  0.406  0.018  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.430
   2.296   -11.947  0.402  0.017  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.426
   2.323   -12.058  0.399  0.017  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.422
   2.349   -12.167  0.397  0.016  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.419
   2.376   -12.274  0.395  0.016  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.416
   2.403   -12.377  0.393  0.015  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.413
   2.429   -12.478  0.392  0.014  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.411
   2.456   -12.576  0.390  0.013  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.408
   2.483   -12.670  0.389  0.013  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.406
   2.510   -12.761  0.389  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.404
   2.536   -12.848  0.388  0.011  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.402
   2.563   -12.932  0.387  0.010  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.401
   2.590   -13.012  0.387  0.009  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.399
   2.616   -13.089  0.387  0.008  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.398
   2.643   -13.161  0.386  0.008  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.396
   2.670   -13.230  0.386  0.007  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.395
   2.697   -13.295  0.386  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.394
   2.723   -13.355  0.386  0.005  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.393
   2.750   -13.412  0.386  0.005  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.392
   2.777   -13.465  0.386  0.004  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.391
   2.803   -13.513  0.386  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.391
   2.830   -13.558  0.386  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.390
   2.857   -13.598  0.386  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.389
   2.884   -13.634  0.386  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.389
   2.910   -13.666  0.387  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.388
   2.937   -13.693  0.387  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.388
   2.964   -13.717  0.387  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.388
   2.990   -13.736  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   3.017   -13.751  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   3.044   -13.762  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   3.071   -13.768  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   3.097   -13.770  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
# Band    2
   3.097    -4.223  0.000  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.000  0.222
   3.071    -4.220  0.000  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.000  0.222
   3.044    -4.213  0.000  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.000  0.222
   3.017    -4.202  0.000  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.000  0.222
   2.990    -4.186  0.000  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.000  0.222
   2.964    -4.165  0.000  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.000  0.222
   2.937    -4.140  0.000  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.000  0.222
   2.910    -4.110  0.000  0.000  0.223  0.000  0.000  0.000  0.000  0.000  0.000  0.223
   2.884    -4.075  0.000  0.000  0.223  0.000  0.000  0.000  0.000  0.000  0.000  0.223
   2.857    -4.036  0.000  0.000  0.223  0.000  0.000  0.000  0.000  0.000  0.000  0.223
   2.830    -3.992  0.000  0.000  0.223  0.000  0.000  0.000  0.000  0.000  0.000  0.223
   2.803    -3.944  0.000  0.000  0.223  0.000  0.000  0.000  0.000  0.000  0.000  0.223
   2.777    -3.891  0.000  0.000  0.224  0.000  0.000  0.000  0.000  0.000  0.000  0.224
   2.750    -3.834  0.000  0.000  0.224  0.000  0.000  0.000  0.000  0.000  0.000  0.224
   2.723    -3.773  0.000  0.000  0.224  0.000  0.000  0.000  0.000  0.000  0.000  0.224
   2.697    -3.706  0.000  0.000  0.225  0.000  0.000  0.000  0.000  0.000  0.000  0.225
   2.670    -3.720  0.065  0.192  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.332
   2.643    -3.909  0.069  0.189  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.333
   2.616    -4.099  0.074  0.185  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.334
   2.590    -4.290  0.078  0.182  0.000  0.074  0.000  0.000  0.000  0.000  0.000  0.335
   2.563    -4.479  0.082  0.179  0.000  0.073  0.000  0.000  0.000  0.000  0.000  0.335
   2.536    -4.668  0.086  0.176  0.000  0.073  0.000  0.000  0.000  0.000  0.000  0.335
   2.510    -4.855  0.090  0.174  0.000  0.072  0.000  0.000  0.000  0.000  0.000  0.335
   2.483    -5.040  0.093  0.171  0.000  0.071  0.000  0.000  0.000  0.000  0.000  0.335
   2.456    -5.224  0.096  0.168  0.000  0.071  0.000  0.000  0.000  0.000  0.000  0.334
   2.429    -5.404  0.099  0.165  0.000  0.070  0.000  0.000  0.000  0.000  0.000  0.334
   2.403    -5.582  0.101  0.163  0.000  0.069  0.000  0.000  0.000  0.000  0.000  0.333
   2.376    -5.757  0.103  0.160  0.000  0.069  0.000  0.000  0.000  0.000  0.000  0.332
   2.349    -5.928  0.104  0.157  0.000  0.068  0.000  0.000  0.000  0.000  0.000  0.330
   2.323    -6.096  0.105  0.155  0.000  0.068  0.000  0.000  0.000  0.000  0.000  0.328
