#K-Path     Energy-Level
#Band-index    1
  0.693      -16.4905
  0.682      -16.4905
  0.672      -16.4905
  0.662      -16.4906
  0.652      -16.4906
  0.642      -16.4907
  0.632      -16.4908
  0.621      -16.4909
  0.611      -16.4910
  0.601      -16.4911
  0.591      -16.4912
  0.581      -16.4914
  0.570      -16.4916
  0.560      -16.4917
  0.550      -16.4919
  0.540      -16.4921
  0.530      -16.4924
  0.520      -16.4926
  0.509      -16.4928
  0.499      -16.4931
  0.489      -16.4933
  0.479      -16.4936
  0.469      -16.4939
  0.458      -16.4942
  0.448      -16.4945
  0.438      -16.4947
  0.428      -16.4950
  0.418      -16.4954
  0.407      -16.4957
  0.397      -16.4960
  0.387      -16.4963
  0.377      -16.4966
  0.367      -16.4969
  0.357      -16.4973
  0.346      -16.4976
  0.336      -16.4979
  0.326      -16.4982
  0.316      -16.4986
  0.306      -16.4989
  0.295      -16.4992
  0.285      -16.4995
  0.275      -16.4998
  0.265      -16.5001
  0.255      -16.5004
  0.244      -16.5007
  0.234      -16.5010
  0.224      -16.5013
  0.214      -16.5015
  0.204      -16.5018
  0.194      -16.5021
  0.183      -16.5023
  0.173      -16.5025
  0.163      -16.5028
  0.153      -16.5030
  0.143      -16.5032
  0.132      -16.5034
  0.122      -16.5035
  0.112      -16.5037
  0.102      -16.5039
  0.092      -16.5040
  0.081      -16.5041
  0.071      -16.5042
  0.061      -16.5043
  0.051      -16.5044
  0.041      -16.5044
  0.031      -16.5045
  0.020      -16.5045
  0.010      -16.5046
  0.000      -16.5046
#Band-index    3
  0.000      -16.4953
  0.010      -16.4953
  0.020      -16.4953
  0.031      -16.4953
  0.041      -16.4953
  0.051      -16.4952
  0.061      -16.4952
  0.071      -16.4952
  0.081      -16.4951
  0.092      -16.4951
  0.102      -16.4951
  0.112      -16.4950
  0.122      -16.4949
  0.132      -16.4949
  0.143      -16.4948
  0.153      -16.4948
  0.163      -16.4947
  0.173      -16.4946
  0.183      -16.4945
  0.194      -16.4944
  0.204      -16.4943
  0.214      -16.4943
  0.224      -16.4942
  0.234      -16.4941
  0.244      -16.4940
  0.255      -16.4939
  0.265      -16.4938
  0.275      -16.4937
  0.285      -16.4936
  0.295      -16.4934
  0.306      -16.4933
  0.316      -16.4932
  0.326      -16.4931
  0.336      -16.4930
  0.346      -16.4929
  0.357      -16.4928
  0.367      -16.4927
  0.377      -16.4926
  0.387      -16.4925
  0.397      -16.4923
  0.407      -16.4922
  0.418      -16.4921
  0.428      -16.4920
  0.438      -16.4919
  0.448      -16.4918
  0.458      -16.4917
  0.469      -16.4916
  0.479      -16.4915
  0.489      -16.4914
  0.499      -16.4914
  0.509      -16.4913
  0.520      -16.4912
  0.530      -16.4911
  0.540      -16.4910
  0.550      -16.4910
  0.560      -16.4909
  0.570      -16.4909
  0.581      -16.4908
  0.591      -16.4907
  0.601      -16.4907
  0.611      -16.4907
  0.621      -16.4906
  0.632      -16.4906
  0.642      -16.4906
  0.652      -16.4905
  0.662      -16.4905
  0.672      -16.4905
  0.682      -16.4905
  0.693      -16.4905
  0.693      -16.4905
  0.703      -16.4905
  0.714      -16.4905
  0.724      -16.4905
  0.734      -16.4905
  0.745      -16.4905
  0.755      -16.4905
  0.766      -16.4905
  0.776      -16.4905
  0.786      -16.4905
  0.797      -16.4905
  0.807      -16.4905
  0.818      -16.4905
  0.828      -16.4905
  0.839      -16.4905
  0.849      -16.4905
  0.859      -16.4905
  0.870      -16.4905
  0.880      -16.4905
  0.891      -16.4905
  0.901      -16.4905
  0.912      -16.4905
  0.922      -16.4905
  0.932      -16.4905
  0.943      -16.4905
  0.953      -16.4905
  0.964      -16.4905
  0.974      -16.4905
  0.984      -16.4905
  0.995      -16.4905
  1.005      -16.4905
  1.016      -16.4905
  1.026      -16.4905
  1.037      -16.4905
  1.047      -16.4905
  1.057      -16.4905
  1.068      -16.4905
  1.078      -16.4905
  1.089      -16.4905
  1.099      -16.4905
  1.110      -16.4905
  1.120      -16.4905
  1.130      -16.4905
  1.141      -16.4905
  1.151      -16.4905
  1.162      -16.4905
  1.172      -16.4905
  1.182      -16.4905
  1.182      -16.4905
  1.193      -16.4905
